name,muscleGroups,equipmentType,difficultyLevel,description,instruction1,instruction2,instruction3,instruction4
Squats,legs;glutes;hamstrings,freeWeights,intermediate,Die Langhantel liegt auf dem oberen Rücken,Füße schulterbreit platzieren,Knie und Hüfte beugen,Bis Oberschenkel parallel zum Boden,Explosiv hochdrücken
Deadlift,back;legs;glutes,freeWeights,intermediate,Hebe die Langhantel vom Boden,Füße hüftbreit positionieren,Hüfte und Knie strecken,Rücken bleibt gerade,Bis aufrechter Stand
Bench Press,chest;shoulders;triceps,freeWeights,intermediate,Lege dich auf eine Flachbank,Langhantel von der Brust drücken,Arme vollständig strecken,Kontrolliert absenken,
Overhead Press,shoulders;triceps,freeWeights,intermediate,Drücke die Langhantel über den Kopf,Im Stehen oder Sitzen,Vom oberen Brustbereich starten,Arme vollständig strecken,Rumpf stabil halten
Bent Over Row,back;lats,freeWeights,intermediate,Beuge den Oberkörper vor,Langhantel vom Boden ziehen,Zum Bauch führen,Schulterblätter zusammenziehen,
Hip Thrust,glutes;hamstrings,freeWeights,beginner,Lege die Schultern auf eine Bank,Langhantel auf der Hüfte platzieren,Hüfte nach oben drücken,Körper bildet gerade Linie,
Barbell Lunges,legs;glutes,freeWeights,intermediate,Mache einen großen Schritt nach vorne,Langhantel auf dem Rücken,Beide Knie beugen,Wieder abdrücken,
Good Mornings,hamstrings;lowerBack;glutes,freeWeights,intermediate,Mit der Hantel auf dem Rücken,Oberkörper mit geradem Rücken vorbeugen,Hüfte als Drehpunkt,Wieder aufrichten,
Barbell Biceps Curls,biceps,freeWeights,beginner,Halte die Langhantel schulterbreit,Arme beugen,Hantel zu den Schultern heben,Keine Schwungbewegung,
Skull Crushers,triceps,freeWeights,intermediate,Lege dich auf eine Bank,Langhantel zur Stirn senken,Kontrollierte Bewegung,Wieder nach oben drücken,Ellbogen stabil halten
Sumo Deadlift,glutes;hamstrings;back,freeWeights,intermediate,Kreuzheben mit sehr breitem Stand,Füße zeigen nach außen,Fokus auf Gesäß und Beinbeuger,Hüfte und Knie strecken,
Romanian Deadlift,hamstrings;glutes,freeWeights,intermediate,Kreuzheben mit fast gestreckten Beinen,Langhantel nah am Körper,Maximale Dehnung der Beinbeuger,Hüfte nach vorne drücken,
Front Squats,legs;core,freeWeights,intermediate,Kniebeugen mit Langhantel vorne,Langhantel auf vorderen Schultern,Stärkere Quadrizeps-Belastung,Aufrechter Oberkörper,
Zercher Squats,legs;upperBack;core,freeWeights,advanced,Langhantel in den Armbeugen halten,Kniebeuge ausführen,Oberer Rücken stark gefordert,Rumpfstabilität wichtig,
Landmine Press,shoulders;chest,freeWeights,intermediate,Langhantel in Ecke oder Halterung,Ende schräg nach oben drücken,Einarmig oder beidarmig möglich,Rumpf stabilisieren,
T-Bar Row,back;lats,freeWeights,intermediate,Spezielle T-Stange oder Langhantel in Ecke,Ruder-Variante,Zum Körper ziehen,Rücken gerade halten,
Floor Press,triceps;chest,freeWeights,intermediate,Bankdrücken auf dem Boden liegend,Reduzierter Bewegungsumfang,Stärkere Trizeps-Belastung,Ellbogen berühren Boden,
JM Press,triceps,freeWeights,advanced,Mischung aus engem Bankdrücken und Stirndrücken,Spezialisierte Trizeps-Übung,Ellbogen nah am Körper,Kontrollierte Bewegung,
